Reporting Area,MMWR Year,MMWR Week,"Carbapenemase-producing Carbapenem-resistant enterobacteriaceae§, Current week","Carbapenemase-producing Carbapenem-resistant enterobacteriaceae§, Current week, flag","Carbapenemase-producing Carbapenem-resistant enterobacteriaceae§, Previous 52 weeks Max†","Carbapenemase-producing Carbapenem-resistant enterobacteriaceae§, Previous 52 weeks Max†, flag","Carbapenemase-producing Carbapenem-resistant enterobacteriaceae§, Cum 2020†","Carbapenemase-producing Carbapenem-resistant enterobacteriaceae§, Cum 2020†, flag","Carbapenemase-producing Carbapenem-resistant enterobacteriaceae§, Cum 2019†","Carbapenemase-producing Carbapenem-resistant enterobacteriaceae§, Cum 2019†, flag","Chancroid, Current week","Chancroid, Current week, flag","Chancroid, Previous 52 weeks Max†","Chancroid, Previous 52 weeks Max†, flag","Chancroid, Cum 2020†","Chancroid, Cum 2020†, flag","Chancroid, Cum 2019†","Chancroid, Cum 2019†, flag","Chlamydia trachomatis infection, Current week","Chlamydia trachomatis infection, Current week, flag","Chlamydia trachomatis infection, Previous 52 weeks Max†","Chlamydia trachomatis infection, Previous 52 weeks Max†, flag","Chlamydia trachomatis infection, Cum 2020†","Chlamydia trachomatis infection, Cum 2020†, flag","Chlamydia trachomatis infection, Cum 2019†","Chlamydia trachomatis infection, Cum 2019†, flag",Location 1,Location 2,Reporting Area Sort,New Georeferenced Column
RHODE ISLAND,2020,11,,-,0,,,-,,-,,-,0,,,-,,-,34,,303,,939,,344,,RHODE ISLAND,,20201107,POINT (-71.534637 41.572574)
OREGON,2020,11,,-,0,,,-,,-,,-,0,,,-,,-,382,,451,,3802,,3882,,OREGON,,20201161,POINT (-120.605279 43.940449)
DELAWARE,2020,11,,-,0,,,-,,-,,-,0,,,-,,-,,-,222,,1153,,1372,,DELAWARE,,20201129,POINT (-75.452394 38.994926)
ALABAMA,2020,11,,-,0,,,-,,-,,-,0,,,-,,-,576,,824,,5965,,7241,,ALABAMA,,20201139,POINT (-86.844516 32.756889)
KANSAS,2020,11,,-,0,,,-,,-,,-,0,,,-,,-,,-,321,,,-,3090,,KANSAS,,20201122,POINT (-98.38018 38.484729)
NORTH CAROLINA,2020,11,,-,0,,,-,,-,,-,0,,,-,,-,,-,1530,,,-,15017,,NORTH CAROLINA,,20201134,POINT (-79.130883 35.52603)
GUAM,2020,11,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,GUAM,,20201166,POINT (144.653198 13.3532)
NEW JERSEY,2020,11,,-,0,,,-,,-,,-,0,,,-,,-,378,,886,,7353,,8145,,NEW JERSEY,,20201110,POINT (-74.655514 40.110253)
NEW MEXICO,2020,11,,-,0,,,-,,-,,-,0,,,-,,-,38,,332,,2528,,2969,,NEW MEXICO,,20201154,POINT (-106.108388 34.421369)
EAST NORTH CENTRAL,2020,11,,-,8,,3,,31,,,-,0,,,-,,-,1150,,5732,,37213,,55375,,,EAST NORTH CENTRAL,20201114,
TENNESSEE,2020,11,,-,0,,,-,,-,,-,0,,,-,,-,,-,959,,6765,,8848,,TENNESSEE,,20201142,POINT (-86.343226 35.842998)
CONNECTICUT,2020,11,,-,0,,,-,,-,,-,0,,,-,,-,18,,366,,2218,,2890,,CONNECTICUT,,20201103,POINT (-72.738288 41.575155)
MARYLAND,2020,11,,-,0,,,-,,-,,-,1,,,-,,-,57,,840,,6036,,7858,,MARYLAND,,20201133,POINT (-76.687282 38.946466)
SOUTH CAROLINA,2020,11,,-,0,,,-,,-,,-,0,,,-,,-,,-,878,,,-,7990,,SOUTH CAROLINA,,20201135,POINT (-80.864614 33.878572)
OKLAHOMA,2020,11,,-,0,,,-,,-,,-,0,,,-,,-,50,,440,,2595,,3919,,OKLAHOMA,,20201146,POINT (-97.508297 35.583449)
NORTHERN MARIANA ISLANDS,2020,11,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,NORTHERN MARIANA ISLANDS,,20201165,POINT (145.725693 15.1834)
OHIO,2020,11,,-,0,,,-,,-,,-,0,,,-,,-,669,,1440,,12581,,14176,,OHIO,,20201118,POINT (-82.70936 40.415534)
MINNESOTA,2020,11,,-,0,,,-,,-,,-,0,,,-,,-,2,,580,,4083,,5216,,MINNESOTA,,20201123,POINT (-94.198308 46.349153)
LOUISIANA,2020,11,,-,0,,,-,,-,,-,0,,,-,,-,228,,838,,6796,,8268,,LOUISIANA,,20201145,POINT (-91.840238 30.921314)
HAWAII,2020,11,,-,1,,,-,1,,,-,0,,,-,,-,,-,209,,,-,1503,,HAWAII,,20201160,POINT (-157.854309 21.361013)
SOUTH ATLANTIC,2020,11,,-,0,,,-,,-,,-,1,,,-,,-,2409,,7749,,52047,,84427,,,SOUTH ATLANTIC,20201128,
PENNSYLVANIA,2020,11,,-,0,,,-,,-,,-,0,,,-,,-,912,,1412,,13042,,12684,,PENNSYLVANIA,,20201113,POINT (-77.838886 40.896694)
UTAH,2020,11,,-,2,,3,,3,,,-,0,,,-,,-,126,,276,,2296,,2321,,UTAH,,20201155,POINT (-111.678222 39.323779)
COLORADO,2020,11,,-,0,,,-,,-,,-,0,,,-,,-,458,,1062,,4749,,5907,,COLORADO,,20201150,POINT (-105.547832 38.998552)
VERMONT,2020,11,,-,0,,,-,,-,,-,0,,,-,,-,,-,61,,152,,253,,VERMONT,,20201108,POINT (-72.662695 44.075252)
KENTUCKY,2020,11,,-,0,,,-,,-,,-,1,,,-,,-,,-,605,,177,,2236,,KENTUCKY,,20201140,POINT (-85.290484 37.526683)
PUERTO RICO,2020,11,,-,0,,,-,,-,,-,0,,,-,,-,,-,304,,145,,1249,,PUERTO RICO,,20201167,POINT (-66.414655 18.215692)
MAINE,2020,11,,-,0,,,-,,-,,-,0,,,-,,-,72,,125,,683,,862,,MAINE,,20201104,POINT (-69.06137 45.117911)
VIRGINIA,2020,11,,-,0,,,-,,-,,-,0,,,-,,-,748,,1127,,10139,,10788,,VIRGINIA,,20201136,POINT (-78.666382 37.510861)
ARIZONA,2020,11,,-,5,,10,,24,,,-,1,,,-,,-,404,,955,,7671,,9154,,ARIZONA,,20201149,POINT (-111.664616 34.293239)
AMERICAN SAMOA,2020,11,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,,AMERICAN SAMOA,20201164,
WISCONSIN,2020,11,,-,3,,3,,7,,,-,0,,,-,,-,297,,686,,5502,,6132,,WISCONSIN,,20201119,POINT (-89.732969 44.639954)
IDAHO,2020,11,,-,0,,,-,,-,,-,0,,,-,,-,106,,173,,1421,,1587,,IDAHO,,20201151,POINT (-114.659366 44.389073)
U.S. VIRGIN ISLANDS,2020,11,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,VIRGIN ISLANDS,,20201168,POINT (-64.840836 18.060868)
MICHIGAN,2020,11,,-,6,,,-,24,,,-,0,,,-,,-,140,,1170,,6483,,10599,,MICHIGAN,,20201117,POINT (-85.730977 44.874798)
GEORGIA,2020,11,,-,0,,,-,,-,,-,0,,,-,,-,271,,1519,,9550,,16096,,GEORGIA,,20201132,POINT (-83.426574 32.638481)
NEW YORK CITY,2020,11,,-,0,,,-,,-,,-,0,,,-,,-,838,,1642,,13073,,16206,,,NEW YORK CITY,20201112,
ARKANSAS,2020,11,,-,0,,,-,,-,,-,0,,,-,,-,1,,409,,278,,3791,,ARKANSAS,,20201144,POINT (-92.439162 34.899825)
MISSISSIPPI,2020,11,,-,0,,,-,,-,,-,0,,,-,,-,,-,604,,3326,,5057,,MISSISSIPPI,,20201141,POINT (-89.65344 32.713378)
SOUTH DAKOTA,2020,11,,-,0,,,-,,-,,-,0,,,-,,-,12,,108,,510,,941,,SOUTH DAKOTA,,20201127,POINT (-100.230491 44.43614)
WYOMING,2020,11,,-,1,,1,,,-,,-,0,,,-,,-,35,,59,,413,,432,,WYOMING,,20201156,POINT (-107.55145 42.999627)
